country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-09-2026 11:00:00",28.56789,77.250515,CO,45,66,53
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","21-09-2026 11:00:00",28.623763,77.287209,NH3,6,7,6
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","21-09-2026 11:00:00",28.570173,76.933762,NH3,5,7,6
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","21-09-2026 11:00:00",22.248853,70.776774,PM2.5,NA,NA,NA
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","21-09-2026 11:00:00",22.248853,70.776774,OZONE,19,36,25
India,Gujarat,Surat,"Science Center, Surat - SMC","21-09-2026 11:00:00",21.170046,72.795405,SO2,17,19,18
India,Gujarat,Surat,"Science Center, Surat - SMC","21-09-2026 11:00:00",21.170046,72.795405,OZONE,NA,NA,NA
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","21-09-2026 11:00:00",21.217779,72.834787,NO2,0,17,9
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","21-09-2026 11:00:00",22.320153,73.216285,PM2.5,14,105,40
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","21-09-2026 11:00:00",22.320153,73.216285,PM10,46,116,78
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","21-09-2026 11:00:00",22.320153,73.216285,NO2,11,16,13
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","21-09-2026 11:00:00",22.320153,73.216285,CO,87,90,88
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","21-09-2026 11:00:00",20.362421,72.918013,OZONE,6,13,8
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","21-09-2026 11:00:00",22.969611,72.6435,NO2,20,35,28
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","21-09-2026 11:00:00",30.379589,76.778328,PM10,88,367,127
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","21-09-2026 11:00:00",28.6701,76.9254,CO,26,29,28
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","21-09-2026 11:00:00",28.7256504,77.2011573,PM2.5,50,214,123
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","21-09-2026 11:00:00",28.5918245,77.2273074,NO2,NA,NA,NA
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","21-09-2026 11:00:00",28.5918245,77.2273074,CO,39,40,40
India,Delhi,Delhi,"JNU, Delhi - DPCC","21-09-2026 11:00:00",28.540721,77.168544,CO,71,96,84
India,Delhi,Delhi,"ITO, Delhi - CPCB","21-09-2026 11:00:00",28.628624,77.24106,PM2.5,84,217,126
India,Delhi,Delhi,"ITO, Delhi - CPCB","21-09-2026 11:00:00",28.628624,77.24106,PM10,106,174,134
India,Delhi,Delhi,"ITO, Delhi - CPCB","21-09-2026 11:00:00",28.628624,77.24106,SO2,10,61,27
India,Delhi,Delhi,"ITO, Delhi - CPCB","21-09-2026 11:00:00",28.628624,77.24106,CO,35,72,52
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","21-09-2026 11:00:00",23.016834,72.625775,NH3,7,39,18
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","21-09-2026 11:00:00",23.023389,72.515201,NO2,8,39,19
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","21-09-2026 11:00:00",23.023389,72.515201,SO2,2,7,5
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","21-09-2026 11:00:00",23.107969,72.574648,NO2,13,55,32
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","21-09-2026 11:00:00",23.107969,72.574648,CO,1,3,2
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","21-09-2026 11:00:00",23.107969,72.574648,OZONE,2,6,3
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","21-09-2026 11:00:00",23.020509,72.579261,NH3,2,7,3
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","21-09-2026 11:00:00",23.002657,72.591912,NO2,19,36,26
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","21-09-2026 11:00:00",23.041137,72.456691,OZONE,9,16,11
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","21-09-2026 11:00:00",21.613267,73.010555,NH3,7,8,8
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","21-09-2026 11:00:00",21.613267,73.010555,CO,47,64,58
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","21-09-2026 11:00:00",23.163798,72.677768,CO,27,38,32
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","21-09-2026 11:00:00",23.243639,72.68994,NH3,5,10,6
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","21-09-2026 11:00:00",23.59315,72.372792,PM10,33,103,59
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","21-09-2026 11:00:00",23.59315,72.372792,SO2,15,16,15
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","21-09-2026 11:00:00",22.410802,73.097923,CO,23,26,25
